code_dpt,dpt,code_circ,circ,code_commune,commune,code_b_vote,cp,id_b_vote,inscrits,abstentions,p_abs/ins,votants,p_vot/ins,blancs,p_blancs/ins,p_blancs/vot,nuls,p_nuls/ins,p_nuls/vot,exprimés,p_exp/ins,p_exp/vot,n_panneau,sexe,nom,prenom,nuance,voix,p_voix/ins,p_voix/exp
84,Vaucluse,5,5ème circonscription,14,Beaumont-de-Pertuis,1,84014,Beaumont-de-Pertuis-1,883,425,48.13,458,51.87,9,1.02,1.97,3,0.34,0.66,446,50.51,97.38,-,-,nuls,-,-,3.0,0.34,0.66
84,Vaucluse,5,5ème circonscription,17,Bédoin,1,84017,Bédoin-1,886,364,41.08,522,58.92,3,0.34,0.57,5,0.56,0.96,514,58.01,98.47,-,-,abstention,-,-,364.0,41.08,0.0
84,Vaucluse,5,5ème circonscription,17,Bédoin,1,84017,Bédoin-1,886,364,41.08,522,58.92,3,0.34,0.57,5,0.56,0.96,514,58.01,98.47,-,-,blancs,-,-,3.0,0.34,0.57
84,Vaucluse,5,5ème circonscription,17,Bédoin,1,84017,Bédoin-1,886,364,41.08,522,58.92,3,0.34,0.57,5,0.56,0.96,514,58.01,98.47,-,-,nuls,-,-,5.0,0.56,0.96
84,Vaucluse,5,5ème circonscription,17,Bédoin,2,84017,Bédoin-2,884,330,37.33,554,62.67,4,0.45,0.72,5,0.57,0.9,545,61.65,98.38,-,-,abstention,-,-,330.0,37.33,0.0
84,Vaucluse,5,5ème circonscription,17,Bédoin,2,84017,Bédoin-2,884,330,37.33,554,62.67,4,0.45,0.72,5,0.57,0.9,545,61.65,98.38,-,-,blancs,-,-,4.0,0.45,0.72
84,Vaucluse,5,5ème circonscription,17,Bédoin,2,84017,Bédoin-2,884,330,37.33,554,62.67,4,0.45,0.72,5,0.57,0.9,545,61.65,98.38,-,-,nuls,-,-,5.0,0.57,0.9
84,Vaucluse,5,5ème circonscription,17,Bédoin,3,84017,Bédoin-3,817,330,40.39,487,59.61,10,1.22,2.05,0,0.0,0.0,477,58.38,97.95,-,-,abstention,-,-,330.0,40.39,0.0
84,Vaucluse,5,5ème circonscription,17,Bédoin,3,84017,Bédoin-3,817,330,40.39,487,59.61,10,1.22,2.05,0,0.0,0.0,477,58.38,97.95,-,-,blancs,-,-,10.0,1.22,2.05
84,Vaucluse,5,5ème circonscription,17,Bédoin,3,84017,Bédoin-3,817,330,40.39,487,59.61,10,1.22,2.05,0,0.0,0.0,477,58.38,97.95,-,-,nuls,-,-,0.0,0.0,0.0
84,Vaucluse,5,5ème circonscription,18,Blauvac,1,84018,Blauvac-1,404,163,40.35,241,59.65,5,1.24,2.07,6,1.49,2.49,230,56.93,95.44,-,-,abstention,-,-,163.0,40.35,0.0
84,Vaucluse,5,5ème circonscription,18,Blauvac,1,84018,Blauvac-1,404,163,40.35,241,59.65,5,1.24,2.07,6,1.49,2.49,230,56.93,95.44,-,-,blancs,-,-,5.0,1.24,2.07
84,Vaucluse,5,5ème circonscription,18,Blauvac,1,84018,Blauvac-1,404,163,40.35,241,59.65,5,1.24,2.07,6,1.49,2.49,230,56.93,95.44,-,-,nuls,-,-,6.0,1.49,2.49
84,Vaucluse,5,5ème circonscription,24,Cabrières-d'Aigues,1,84024,Cabrières-d'Aigues-1,702,299,42.59,403,57.41,1,0.14,0.25,6,0.85,1.49,396,56.41,98.26,-,-,abstention,-,-,299.0,42.59,0.0
84,Vaucluse,5,5ème circonscription,24,Cabrières-d'Aigues,1,84024,Cabrières-d'Aigues-1,702,299,42.59,403,57.41,1,0.14,0.25,6,0.85,1.49,396,56.41,98.26,-,-,blancs,-,-,1.0,0.14,0.25
84,Vaucluse,5,5ème circonscription,24,Cabrières-d'Aigues,1,84024,Cabrières-d'Aigues-1,702,299,42.59,403,57.41,1,0.14,0.25,6,0.85,1.49,396,56.41,98.26,-,-,nuls,-,-,6.0,0.85,1.49
84,Vaucluse,5,5ème circonscription,30,Caromb,1,84030,Caromb-1,868,414,47.7,454,52.3,4,0.46,0.88,1,0.12,0.22,449,51.73,98.9,-,-,abstention,-,-,414.0,47.7,0.0
84,Vaucluse,5,5ème circonscription,30,Caromb,1,84030,Caromb-1,868,414,47.7,454,52.3,4,0.46,0.88,1,0.12,0.22,449,51.73,98.9,-,-,blancs,-,-,4.0,0.46,0.88
84,Vaucluse,5,5ème circonscription,30,Caromb,1,84030,Caromb-1,868,414,47.7,454,52.3,4,0.46,0.88,1,0.12,0.22,449,51.73,98.9,-,-,nuls,-,-,1.0,0.12,0.22
84,Vaucluse,5,5ème circonscription,30,Caromb,2,84030,Caromb-2,917,408,44.49,509,55.51,2,0.22,0.39,0,0.0,0.0,507,55.29,99.61,-,-,abstention,-,-,408.0,44.49,0.0
84,Vaucluse,5,5ème circonscription,30,Caromb,2,84030,Caromb-2,917,408,44.49,509,55.51,2,0.22,0.39,0,0.0,0.0,507,55.29,99.61,-,-,blancs,-,-,2.0,0.22,0.39
84,Vaucluse,5,5ème circonscription,30,Caromb,2,84030,Caromb-2,917,408,44.49,509,55.51,2,0.22,0.39,0,0.0,0.0,507,55.29,99.61,-,-,nuls,-,-,0.0,0.0,0.0
84,Vaucluse,5,5ème circonscription,30,Caromb,3,84030,Caromb-3,792,373,47.1,419,52.9,5,0.63,1.19,2,0.25,0.48,412,52.02,98.33,-,-,abstention,-,-,373.0,47.1,0.0
84,Vaucluse,5,5ème circonscription,30,Caromb,3,84030,Caromb-3,792,373,47.1,419,52.9,5,0.63,1.19,2,0.25,0.48,412,52.02,98.33,-,-,blancs,-,-,5.0,0.63,1.19
84,Vaucluse,5,5ème circonscription,30,Caromb,3,84030,Caromb-3,792,373,47.1,419,52.9,5,0.63,1.19,2,0.25,0.48,412,52.02,98.33,-,-,nuls,-,-,2.0,0.25,0.48
84,Vaucluse,5,5ème circonscription,31,Carpentras,1,84031,Carpentras-1,620,406,65.48,214,34.52,3,0.48,1.4,5,0.81,2.34,206,33.23,96.26,-,-,abstention,-,-,406.0,65.48,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,1,84031,Carpentras-1,620,406,65.48,214,34.52,3,0.48,1.4,5,0.81,2.34,206,33.23,96.26,-,-,blancs,-,-,3.0,0.48,1.4
84,Vaucluse,5,5ème circonscription,31,Carpentras,1,84031,Carpentras-1,620,406,65.48,214,34.52,3,0.48,1.4,5,0.81,2.34,206,33.23,96.26,-,-,nuls,-,-,5.0,0.81,2.34
